Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
1.681979, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.681979, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.681979, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.681941, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.681941, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.681941, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.681941, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.681941, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.681941, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.681941, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.68228, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.68228, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682304, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682304, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682304, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682332, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682332, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682332, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682332, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682496, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.715147, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715147, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715183, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715183, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715183, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715183, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715354, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715354, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.715354, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.6)
1.716021, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
1.716021, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
1.716021, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
1.716117, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
1.716117, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
1.716117, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
1.716117, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
1.716173, (347.9, 13.8, 0.0), (352.6, 14.1, 0.0), (0.0, 0.0, 0.0), (-4.7, -2.4, 352.5)
