Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
1.7948, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795133, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795133, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795133, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795336, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795336, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795336, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795336, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795461, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795461, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795461, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795724, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795724, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795724, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795916, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795568, (339.9, 4.2, 0.0), (340.1, 358.5, 0.0), (0.2, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795568, (339.9, 4.2, 0.0), (340.1, 358.5, 0.0), (0.2, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795568, (339.9, 4.2, 0.0), (340.1, 358.5, 0.0), (0.2, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795752, (339.9, 4.2, 0.0), (340.1, 358.5, 0.0), (0.2, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795752, (339.9, 4.2, 0.0), (340.1, 358.5, 0.0), (0.2, -3.6, 354.2), (0.0, 0.0, 0.0)
1.795752, (339.9, 4.2, 0.0), (340.1, 358.5, 0.0), (0.2, -3.6, 354.2), (0.0, 0.0, 0.0)
